FECHA,EMISION,PA,TV,TIPO BURSATILIDAD
2015-04-01 00:00:00,KUOB,27,1,ME
2015-04-24 00:00:00,KUOB,27.28,1,ME
2015-05-27 00:00:00,KUOB,26,1,ME
2015-05-29 00:00:00,KUOB,26.35,1,ME
2015-06-03 00:00:00,KUOB,26.1,1,ME
2015-06-12 00:00:00,KUOB,26,1,ME
2015-06-16 00:00:00,KUOB,25.53,1,ME
2015-06-17 00:00:00,KUOB,25.55,1,ME
2015-06-26 00:00:00,KUOB,25,1,ME
2015-06-30 00:00:00,KUOB,24.97,1,ME
2015-07-01 00:00:00,KUOB,24,1,ME
2015-07-02 00:00:00,KUOB,24,1,ME
2015-07-06 00:00:00,KUOB,23.89,1,ME
2015-07-15 00:00:00,KUOB,23.44,1,ME
2015-07-22 00:00:00,KUOB,23.8,1,ME
2015-07-23 00:00:00,KUOB,23.86,1,ME
2015-07-27 00:00:00,KUOB,23.89,1,ME
2015-08-05 00:00:00,KUOB,24.15,1,ME
2015-08-26 00:00:00,KUOB,21.49,1,ME
2015-09-04 00:00:00,KUOB,24,1,ME
2015-09-11 00:00:00,KUOB,24.48,1,ME
2015-09-18 00:00:00,KUOB,23.52,1,ME
2015-10-01 00:00:00,KUOB,23.75,1,ME
2015-10-05 00:00:00,KUOB,24.4,1,ME
2015-10-16 00:00:00,KUOB,25.5,1,ME
2015-10-19 00:00:00,KUOB,25.49,1,ME
2015-11-04 00:00:00,KUOB,29.65,1,ME
2015-11-05 00:00:00,KUOB,29.6,1,ME
2015-11-18 00:00:00,KUOB,29.69,1,ME
2015-11-20 00:00:00,KUOB,29.5,1,ME
2015-12-08 00:00:00,KUOB,29.85,1,ME
2015-12-30 00:00:00,KUOB,29.96,1,ME
2016-01-13 00:00:00,KUOB,29.1,1,ME
2016-02-04 00:00:00,KUOB,30.7,1,ME
2016-02-08 00:00:00,KUOB,30.71,1,ME
2016-02-11 00:00:00,KUOB,30.45,1,ME
2016-02-23 00:00:00,KUOB,31,1,ME
2016-03-07 00:00:00,KUOB,31.39,1,ME
2016-03-11 00:00:00,KUOB,31.4,1,ME
2016-03-16 00:00:00,KUOB,31.7,1,ME
2016-03-22 00:00:00,KUOB,32,1,ME
2015-04-23 00:00:00,LALAB,30.83,1,AL
2015-04-28 00:00:00,LALAB,31.71,1,AL
2015-05-19 00:00:00,LALAB,32.3,1,AL
2015-05-22 00:00:00,LALAB,32.32,1,AL
2015-05-26 00:00:00,LALAB,32.05,1,AL
2015-06-16 00:00:00,LALAB,33.48,1,AL
2015-06-19 00:00:00,LALAB,33.64,1,AL
2015-06-26 00:00:00,LALAB,33.57,1,AL
2015-07-07 00:00:00,LALAB,35.17,1,AL
2015-07-14 00:00:00,LALAB,34.85,1,AL
2015-08-04 00:00:00,LALAB,37.96,1,AL
2015-08-25 00:00:00,LALAB,35.84,1,AL
2015-09-03 00:00:00,LALAB,38.01,1,AL
2015-09-22 00:00:00,LALAB,38.97,1,AL
2015-09-28 00:00:00,LALAB,38.94,1,AL
2015-09-29 00:00:00,LALAB,39.77,1,AL
2015-11-04 00:00:00,LALAB,43.88,1,AL
2015-11-05 00:00:00,LALAB,43.49,1,AL
2015-11-11 00:00:00,LALAB,41.79,1,AL
2015-11-12 00:00:00,LALAB,41.66,1,AL
2015-11-23 00:00:00,LALAB,42.71,1,AL
2015-11-24 00:00:00,LALAB,42.34,1,AL
2015-12-04 00:00:00,LALAB,39.34,1,AL
2015-12-24 00:00:00,LALAB,41.27,1,AL
2015-12-31 00:00:00,LALAB,40.07,1,AL
2016-01-04 00:00:00,LALAB,39.9,1,AL
2016-01-13 00:00:00,LALAB,39.84,1,AL
2016-01-28 00:00:00,LALAB,41.41,1,AL
2016-02-03 00:00:00,LALAB,43.25,1,AL
2016-02-12 00:00:00,LALAB,42.47,1,AL
2016-02-18 00:00:00,LALAB,41.78,1,AL
2016-02-23 00:00:00,LALAB,41.99,1,AL
2016-03-11 00:00:00,LALAB,42.57,1,AL
2015-04-08 00:00:00,OHLMEX*,29.22,1,AL
2015-04-16 00:00:00,OHLMEX*,29.66,1,AL
2015-04-28 00:00:00,OHLMEX*,30.03,1,AL
2015-04-29 00:00:00,OHLMEX*,30.71,1,AL
2015-05-05 00:00:00,OHLMEX*,30.68,1,AL
2015-05-06 00:00:00,OHLMEX*,27.07,1,AL
2015-05-07 00:00:00,OHLMEX*,24.3,1,AL
2015-05-12 00:00:00,OHLMEX*,24.46,1,AL
2015-05-13 00:00:00,OHLMEX*,25,1,AL
2015-05-14 00:00:00,OHLMEX*,24.89,1,AL
2015-06-02 00:00:00,OHLMEX*,22.1,1,AL
2015-06-09 00:00:00,OHLMEX*,20,1,AL
2015-06-10 00:00:00,OHLMEX*,19.69,1,AL
2015-06-19 00:00:00,OHLMEX*,20.83,1,AL
2015-06-22 00:00:00,OHLMEX*,21.39,1,AL
2015-07-01 00:00:00,OHLMEX*,20.11,1,AL
2015-07-14 00:00:00,OHLMEX*,21.01,1,AL
2015-07-15 00:00:00,OHLMEX*,21.16,1,AL
2015-08-19 00:00:00,OHLMEX*,22.17,1,AL
2015-09-04 00:00:00,OHLMEX*,21.78,1,AL
2015-09-09 00:00:00,OHLMEX*,21.22,1,AL
2015-09-24 00:00:00,OHLMEX*,21.73,1,AL
2015-10-14 00:00:00,OHLMEX*,23.98,1,AL
2015-10-15 00:00:00,OHLMEX*,23.96,1,AL
2015-10-28 00:00:00,OHLMEX*,20.96,1,AL
2015-11-09 00:00:00,OHLMEX*,20.14,1,AL
2015-11-13 00:00:00,OHLMEX*,19.02,1,AL
2015-11-30 00:00:00,OHLMEX*,19.79,1,AL
2015-12-10 00:00:00,OHLMEX*,19.66,1,AL
2016-01-27 00:00:00,OHLMEX*,16.09,1,AL
2016-03-04 00:00:00,OHLMEX*,23.14,1,AL
2016-03-16 00:00:00,OHLMEX*,25.95,1,AL
2016-03-23 00:00:00,OHLMEX*,24.21,1,AL
2015-05-19 00:00:00,PINFRA*,172.54,1,AL
2015-05-20 00:00:00,PINFRA*,177.24,1,AL
2015-06-12 00:00:00,PINFRA*,169.64,1,AL
2015-06-16 00:00:00,PINFRA*,168.03,1,AL
2015-06-30 00:00:00,PINFRA*,168.38,1,AL
2015-07-02 00:00:00,PINFRA*,174.1,1,AL
2015-07-03 00:00:00,PINFRA*,174.64,1,AL
2015-07-08 00:00:00,PINFRA*,172.37,1,AL
2015-07-15 00:00:00,PINFRA*,177.13,1,AL
2015-07-16 00:00:00,PINFRA*,176.82,1,AL
2015-07-28 00:00:00,PINFRA*,176.12,1,AL
2015-08-07 00:00:00,PINFRA*,184.75,1,AL
2015-08-25 00:00:00,PINFRA*,180.07,1,AL
2015-09-01 00:00:00,PINFRA*,177.2,1,AL
2015-09-11 00:00:00,PINFRA*,183.13,1,AL
2015-10-27 00:00:00,PINFRA*,208.94,1,AL
2015-10-29 00:00:00,PINFRA*,208.06,1,AL
2015-10-30 00:00:00,PINFRA*,207.11,1,AL
2015-11-04 00:00:00,PINFRA*,212.32,1,AL
2015-12-02 00:00:00,PINFRA*,205.32,1,AL
2015-12-10 00:00:00,PINFRA*,198.78,1,AL
2015-12-28 00:00:00,PINFRA*,207.27,1,AL
2015-12-30 00:00:00,PINFRA*,200.36,1,AL
2016-01-04 00:00:00,PINFRA*,202.93,1,AL
2016-01-25 00:00:00,PINFRA*,202.44,1,AL
2016-01-29 00:00:00,PINFRA*,207.26,1,AL
2016-02-10 00:00:00,PINFRA*,212.48,1,AL
2016-03-15 00:00:00,PINFRA*,226.73,1,AL
2015-04-06 00:00:00,PINFRAL,154,1,ME
2015-04-09 00:00:00,PINFRAL,155.1,1,ME
2015-04-16 00:00:00,PINFRAL,157.63,1,ME
2015-04-24 00:00:00,PINFRAL,162.63,1,ME
2015-05-26 00:00:00,PINFRAL,159.13,1,ME
2015-05-29 00:00:00,PINFRAL,154.05,1,ME
2015-06-05 00:00:00,PINFRAL,155.01,1,ME
2015-06-08 00:00:00,PINFRAL,153,1,ME
2015-06-22 00:00:00,PINFRAL,154.05,1,ME
2015-06-25 00:00:00,PINFRAL,154.08,1,ME
2015-07-08 00:00:00,PINFRAL,151.52,1,ME
2015-07-14 00:00:00,PINFRAL,155.6,1,ME
2015-07-21 00:00:00,PINFRAL,157.44,1,ME
2015-07-23 00:00:00,PINFRAL,157.98,1,ME
2015-07-24 00:00:00,PINFRAL,155,1,ME
2015-07-28 00:00:00,PINFRAL,157.5,1,ME
2015-07-29 00:00:00,PINFRAL,158.98,1,ME
2015-08-03 00:00:00,PINFRAL,159.17,1,ME
2015-09-10 00:00:00,PINFRAL,166.73,1,ME
2015-09-14 00:00:00,PINFRAL,168.21,1,ME
2015-09-21 00:00:00,PINFRAL,165.11,1,ME
2015-10-09 00:00:00,PINFRAL,170.09,1,ME
2015-10-12 00:00:00,PINFRAL,170.98,1,ME
2015-10-15 00:00:00,PINFRAL,172.53,1,ME
2015-10-19 00:00:00,PINFRAL,175.52,1,ME
2015-10-23 00:00:00,PINFRAL,177.68,1,ME
2015-12-07 00:00:00,PINFRAL,175.19,1,ME
2015-12-08 00:00:00,PINFRAL,175,1,ME
2015-12-16 00:00:00,PINFRAL,179.5,1,ME
2015-12-29 00:00:00,PINFRAL,178.59,1,ME
2015-12-30 00:00:00,PINFRAL,180.6,1,ME
2016-01-05 00:00:00,PINFRAL,179.41,1,ME
2016-02-18 00:00:00,PINFRAL,181.5,1,ME
2016-02-23 00:00:00,PINFRAL,183.72,1,ME
2016-03-09 00:00:00,PINFRAL,190.2,1,ME
2016-03-18 00:00:00,PINFRAL,192.86,1,ME
2016-03-29 00:00:00,PINFRAL,188.1,1,ME
2015-04-15 00:00:00,RASSINIA,31.39,1,ME
2015-04-17 00:00:00,RASSINIA,32.36,1,ME
2015-04-30 00:00:00,RASSINIA,32.28,1,ME
2015-05-14 00:00:00,RASSINIA,31.51,1,ME
2015-06-02 00:00:00,RASSINIA,31.09,1,ME
2015-06-09 00:00:00,RASSINIA,31.49,1,ME
2015-06-18 00:00:00,RASSINIA,31,1,ME
2015-07-07 00:00:00,RASSINIA,30.98,1,ME
2015-07-20 00:00:00,RASSINIA,31.75,1,ME
2015-08-04 00:00:00,RASSINIA,30.47,1,ME
2015-08-06 00:00:00,RASSINIA,30.3,1,ME
2015-08-20 00:00:00,RASSINIA,30.06,1,ME
2015-08-24 00:00:00,RASSINIA,28.81,1,ME
2015-08-25 00:00:00,RASSINIA,29.31,1,ME
2015-09-08 00:00:00,RASSINIA,30.26,1,ME
2015-09-14 00:00:00,RASSINIA,30.5,1,ME
2015-10-08 00:00:00,RASSINIA,31.39,1,ME
2015-12-08 00:00:00,RASSINIA,31.45,1,ME
2015-12-10 00:00:00,RASSINIA,31.39,1,ME
2015-12-14 00:00:00,RASSINIA,31.01,1,ME
2015-12-17 00:00:00,RASSINIA,32.03,1,ME
2015-12-22 00:00:00,RASSINIA,32.01,1,ME
2015-12-28 00:00:00,RASSINIA,32.04,1,ME
2016-01-05 00:00:00,RASSINIA,32.48,1,ME
2016-01-08 00:00:00,RASSINIA,31.7,1,ME
2016-01-25 00:00:00,RASSINIA,31.97,1,ME
2016-01-29 00:00:00,RASSINIA,31.8,1,ME
2016-02-02 00:00:00,RASSINIA,32,1,ME
2016-02-12 00:00:00,RASSINIA,32.3,1,ME
2016-03-16 00:00:00,RASSINIA,35.99,1,ME
2016-03-22 00:00:00,RASSINIA,36.01,1,ME
2015-04-09 00:00:00,VITROA,33,1,ME
2015-04-13 00:00:00,VITROA,32.8,1,ME
2015-04-16 00:00:00,VITROA,32.8,1,ME
2015-04-23 00:00:00,VITROA,33.02,1,ME
2015-05-07 00:00:00,VITROA,34.23,1,ME
