EMISORA,EMISION,VMKT_MXN,VMKT_USD,SECTOR,SECTOR_EN
AC,AC*,2.00E+11,11614803644,PRODUCTOS DE CONSUMO FRECUENTE,CONSUMER GOODS
ALFA,ALFAA,1.78E+11,10305165922,INDUSTRIAL,INDUSTRIAL GOODS
ALSEA,ALSEA*,54298333095,3150103446,SERVICIOS Y BIENES DE CONSUMO NO BASICO,SERVICES
AMX,AMXL,5.71E+11,33134715581,SERVICIOS DE TELECOMUNICACIONES,TECHNOLOGY
ASUR,ASURB,72099492000,4182832976,INDUSTRIAL,INDUSTRIAL GOODS
BIMBO,BIMBOA,2.40E+11,13934700006,PRODUCTOS DE CONSUMO FRECUENTE,CONSUMER GOODS
CEMEX,CEMEXCPO,1.69E+11,9804564810,MATERIALES,INDUSTRIAL GOODS
ELEKTRA,ELEKTRA*,80665157440,4679767793,SERVICIOS Y BIENES DE CONSUMO NO BASICO,SERVICES
FEMSA,FEMSAUBD,3.60E+11,20913410224,PRODUCTOS DE CONSUMO FRECUENTE,CONSUMER GOODS
GAP,GAPB,73501659000,4264179324,INDUSTRIAL,INDUSTRIAL GOODS
GCARSO,GCARSOA1,1.83E+11,10611795570,INDUSTRIAL,INDUSTRIAL GOODS
GENTERA,GENTERA*,55651227569,3228591261,SERVICIOS FINANCIEROS,FINANCIAL
GFINBUR,GFINBURO,2.30E+11,13320312383,SERVICIOS FINANCIEROS,FINANCIAL
GFNORTE,GFNORTEO,2.70E+11,15678161590,SERVICIOS FINANCIEROS,FINANCIAL
GFREGIO,GFREGIOO,33032522972,1916373091,SERVICIOS FINANCIEROS,FINANCIAL
GMEXICO,GMEXICOB,3.24E+11,18811002495,MATERIALES,INDUSTRIAL GOODS
GRUMA,GRUMAB,1.18E+11,6871714940,PRODUCTOS DE CONSUMO FRECUENTE,CONSUMER GOODS
ICA,ICA*,2496239662,144818684.3,INDUSTRIAL,INDUSTRIAL GOODS
ICH,ICHB,27388025061,1588909036,MATERIALES,INDUSTRIAL GOODS
IENOVA,IENOVA*,81508701842,4728705798,ENERGIA,ENERGY
KIMBER,KIMBERA,66830856533,3877174481,PRODUCTOS DE CONSUMO FRECUENTE,CONSUMER GOODS
KOF,KOFL,71392105474,4141794133,PRODUCTOS DE CONSUMO FRECUENTE,CONSUMER GOODS
LAB,LABB,14011077823,812848977.4,SALUD,HEALTHCARE
LALA,LALAB,1.16E+11,6758499959,PRODUCTOS DE CONSUMO FRECUENTE,CONSUMER GOODS
LIVEPOL,LIVEPOLC-1,40330340386,2339754040,SERVICIOS Y BIENES DE CONSUMO NO BASICO,SERVICES
MEXCHEM,MEXCHEM*,88893000000,5157103904,MATERIALES,INDUSTRIAL GOODS
OHLMEX,OHLMEX*,47357945254,2747458679,INDUSTRIAL,INDUSTRIAL GOODS
OMA,OMAB,32998517604,1914400279,INDUSTRIAL,INDUSTRIAL GOODS
PE&OLES,PE&OLES*,86343656521,5009204416,MATERIALES,INDUSTRIAL GOODS
PINFRA,PINFRA*,87321975704,5065961345,INDUSTRIAL,INDUSTRIAL GOODS
SANMEX,SANMEXB,1.04E+11,6042083241,SERVICIOS FINANCIEROS,FINANCIAL
SIMEC,SIMECB,22948147990,1331330741,MATERIALES,INDUSTRIAL GOODS
TLEVISA,TLEVISACPO,2.45E+11,14208157259,SERVICIOS DE TELECOMUNICACIONES,TECHNOLOGY
WALMEX,WALMEX*,7.16E+11,41533765033,PRODUCTOS DE CONSUMO FRECUENTE,CONSUMER GOODS
IPC,IPC,2.18E+12,1.26E+11,MERCADO,MARKET
